ind,sampling_year,sampling_month,sampling_loc,seq_library,library_type,SL_mm,TL_mm,mass_g,juvenile,raw_reads,assem_reads,assem_pct,pheno_ID,pheno_sex,pca_ID_RAD,pca_ID_GBS,entropy_ID,spp_agree,checkHets_quality,keep,comments,final_ID
JAR18_139986,2018,May,Wampembe,lates03,GBS,239,266,124,N,719039,643902,89.60%,Lsta,F,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139987,2018,May,Wampembe,lates03,GBS,246,282,143,N,998546,880654,88.20%,Lsta,F,#N/A,#N/A,Lsta,FALSE,4,N,,#N/A
JAR18_139988,2018,May,Wampembe,lates03,GBS,234,265,116,N,532643,466148,87.50%,Lsta,F,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139989,2018,May,Wampembe,lates03,GBS,244,282,112,N,674109,601647,89.30%,Lsta,F,#N/A,#N/A,Lsta,FALSE,3,N,,#N/A
JAR18_139990,2018,May,Wampembe,lates03,GBS,244,282,139,N,1041043,987558,94.90%,Lsta,F,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139991,2018,May,Wampembe,lates03,GBS,259,292,152,N,862359,801475,92.90%,Lsta,M,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139992,2018,May,Wampembe,lates03,GBS,297,332,225,N,1103158,1015355,92.00%,Lsta,F,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_139993,2018,May,Wampembe,lates03,GBS,250,282,156,N,1195302,1125068,94.10%,Lsta,F,#N/A,#N/A,Lsta,TRUE,2,Y,,Lsta
JAR18_139995,2018,May,Wampembe,lates03,GBS,261,300,173,N,973976,814098,83.60%,Lsta,M,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139996,2018,May,Wampembe,lates03,GBS,280,300,147,N,510387,441028,86.40%,Lsta,F,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139997,2018,May,Wampembe,lates03,GBS,233,170,130,N,673137,615142,91.40%,Lsta,F,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139998,2018,May,Wampembe,lates03,GBS,239,275,224,N,953232,894178,93.80%,Lsta,M,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_139999,2018,May,Wampembe,lates03,GBS,236,273,114,N,907345,827499,91.20%,Lsta,M,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_140000,2018,May,Wampembe,lates03,GBS,237,273,234,N,924191,859973,93.10%,Lsta,F,#N/A,#N/A,Lsta,TRUE,3,N,,#N/A
JAR18_140001,2018,May,Wampembe,lates03,GBS,266,303,255,N,698675,654080,93.60%,Lsta,F,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_140002,2018,May,Wampembe,lates03,GBS,245,276,229,N,788055,733474,93.10%,Lsta,F,#N/A,#N/A,Lsta,TRUE,4,N,,#N/A
JAR18_140014,2018,May,Kasanga,lates03,GBS,606,706,5000,N,1420656,1322016,93.10%,Lmar,M,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_140015,2018,May,Kasanga,lates03,GBS,701,708,5000,N,1351255,1272257,94.20%,Lmic,F,#N/A,Lmic (but far away in the plot),Lmic,TRUE,3,N,,#N/A
JAR18_140016,2018,May,Kasanga,lates03,GBS,509,700,4300,N,796237,743302,93.40%,Lmic,M,#N/A,Lmic (but far away in the plot),Lmar,FALSE,3,N,,#N/A
JAR18_140017,2018,May,Kasanga,lates03,GBS,504,601,3000,N,1397572,1305800,93.40%,Lang,F,#N/A,Lmar (but is close to Lang),Lunk,TRUE,2,N,,#N/A
JAR18_140018,2018,May,Kasanga,lates03,GBS,509,608,4500,N,1472081,1379371,93.70%,Lmar,M,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_140019,2018,May,Kasanga,lates03,GBS,604,704,4500,N,893482,830118,92.90%,Lang,F,#N/A,Lmar (but is close to Lang),Lunk,TRUE,2,N,,#N/A
JAR18_140020,2018,May,Kasanga,lates03,GBS,408,506,1000,N,792962,575297,72.60%,Lmar,F,#N/A,Lmar,Lmar,TRUE,3,N,,#N/A
JAR18_140021,2018,May,Kasanga,lates03,GBS,404,501,1500,N,1189245,1121653,94.30%,Lmar,F,#N/A,Lmar,Lmar,TRUE,2,Y,,Lmar
JAR18_140022,2018,May,Kasanga,lates03,GBS,406,502,1500,N,1785331,1656517,92.80%,Lmar,F,#N/A,Lmar,Lmar,TRUE,3,N,,#N/A
